name,category,calories,protein,carbs,fat,fiber,standardUnit
มะระ ยอดอ่อน ดิบ,vegetable,31.64,2.32,5.32,0.12,1.6,ถ้วยตวง
มะเขือพวง ดิบ,vegetable,98.49,3.72,18.62,1.01,18.26,ถ้วยตวง
มะเขือม่วง ดิบ,vegetable,21.75,0.81,4.37,0.12,0,ทัพพี
มะเขือยาว ดิบ,vegetable,15.84,0.58,3.31,0.03,1.54,ทัพพี
มะเขือขื่น ดิบ,vegetable,60.98,2.65,6.93,2.52,0,ถ้วยตวง
มะเขือเทศ,vegetable,40.38,1.64,7.18,0.57,1.74,ถ้วยตวง
มะเขือเทศสีดา,vegetable,41.67,1.62,7.66,0.51,2.85,ถ้วยตวง
มะเขือเปราะ ดิบ,vegetable,44.21,1.86,8.75,0.2,3.42,ถ้วยตวง
ฟักทอง ยอดอ่อน ดิบ,vegetable,22.34,2.65,2.35,0.26,3.12,ถ้วยตวง
หัวผักกาด / หัวไชเท้า ดิบ,vegetable,36.38,1.29,7.22,0.26,3.23,ถ้วยตวง
หัวผักกาด / หัวไชเท้า ดอง,vegetable,13.68,0.46,2.62,0.15,1.83,ทัพพี
หัวผักกาด / หัวไชเท้า ต้ม,vegetable,28.7,0.28,6.58,0.14,2.52,ถ้วยตวง
หัวผักกาด แห้ง เค็ม / หัวไชโป๊ว,vegetable,32.34,0.8,6.69,0.27,4.62,ทัพพี
เห็ดลม / เห็ดกระด้าง ดิบ,vegetable,155.99,2.58,36.25,0.07,0,ถ้วยตวง
เห็ดฟาง / เห็ดบัว ดิบ,vegetable,42.56,4.31,5.61,0.32,2.79,ถ้วยตวง
เห็ดหูหนู ดิบ,vegetable,37.85,0.74,8.53,0.08,4.89,ถ้วยตวง
เห็ดโคน ดิบ,vegetable,69.46,6.21,9.62,0.68,2.29,ถ้วยตวง
บวบหอม / บวบกลม ยอดอ่อน ดิบ,vegetable,24.3,2.58,2.93,0.25,0,ถ้วยตวง
แตงกวา ดอง หวาน,vegetable,118.7,0.76,27.71,0.54,1.31,ถ้วยตวง
เห็ดหูหนูสีน้ำตาล แห้ง,vegetable,405.37,8.96,91.02,0.6,57.16,ถ้วยตวง
แครอท ดิบ,vegetable,16.01,0.69,3.09,0.1,1.45,ทัพพี
บร็อคโคลี่ ดิบ,vegetable,30.95,2.41,5.13,0.09,2.09,ถ้วยตวง
แตงกวา ดอง เค็ม,vegetable,17.03,1.57,2.1,0.26,0.66,ถ้วยตวง
ผักเสี้ยน ดิบ,vegetable,5.13,0.42,0.73,0.06,0,ถ้วยตวง
ผักโขมใหญ่ ดิบ,vegetable,20.34,2.24,2.35,0.22,0,ถ้วยตวง
เห็ดกระดุม / แชมปิญอง ในน้ำเกลือ บรรจุกระป๋อง ไม่รวมน้ำ,vegetable,19.35,1.88,2.33,0.28,1.62,ทัพพี
เห็ดนางฟ้า ดิบ,vegetable,34.76,1.82,6.68,0.08,3.18,ถ้วยตวง
เห็ดเป๋าฮื้อ ดิบ,vegetable,53.91,2.78,8.67,0.9,5.35,ถ้วยตวง
เห็ดเผาะ ดิบ,vegetable,91.66,2.55,17.97,1.07,18.38,ถ้วยตวง
เห็ดหอม ดิบ,vegetable,8.39,0.66,1.36,0.03,0.58,ทัพพี
เห็ดหอม แห้ง,vegetable,18.75,1,3.68,0.01,0.63,ชิ้น (กลาง)
แขนงกะหล่ำ ดิบ,vegetable,31.01,2.69,4.69,0.17,3.11,ถ้วยตวง
ขิง ดอง เปรี้ยว,vegetable,41.45,0.63,9.45,0.13,1.26,ถ้วยตวง
ผักกวางตุ้ง ไต้หวัน ดิบ,vegetable,6.42,0.47,0.89,0.11,0.32,ทัพพี
ผักกาดขาวใบเขียว ดิบ,vegetable,16.64,1.6,2.01,0.25,1.97,ถ้วยตวง
ผักกาดขาวปลี ดิบ,vegetable,18.33,1.97,2.34,0.12,0,ถ้วยตวง
ผักปลัง ดิบ,vegetable,20.86,1.81,3.09,0.14,3.13,ถ้วยตวง
ผักปูเล่ ดิบ,vegetable,24.86,1.92,3.77,0.24,3.44,ถ้วยตวง
ผักเป็ดน้ำ ดิบ,vegetable,15.11,0.59,2.98,0.09,0,ถ้วยตวง
ผักโป้งเป้ง ดิบ,vegetable,12.45,0.67,2.28,0.07,0,ถ้วยตวง
ผักหมาน้อย / เครือหมาน้อย / กรุงเขมา ดิบ,vegetable,4.61,0.17,0.89,0.04,0.85,ถ้วยตวง
ผักโหบเหบ ดิบ,vegetable,4.1,0.21,0.75,0.03,0,ถ้วยตวง
มะเขือเสวย ดิบ,vegetable,49.57,1.93,9.04,0.63,5.76,ถ้วยตวง
เห็ดนางนวล ดิบ,vegetable,20.45,3.51,1.33,0.12,0,ถ้วยตวง
เห็ดตับเต่า ดิบ,vegetable,8.05,0.73,1.25,0.01,0,ทัพพี
เห็ดตีนแฮด / เห็ดตับเต่าขาว / เห็ดจั่น ดิบ,vegetable,11.69,0.67,1.94,0.14,0.41,ทัพพี
เห็ดนางรม ดิบ,vegetable,44.06,2.56,7.68,0.34,0,ถ้วยตวง
เห็ดฟาง ในน้ำเกลือ บรรจุกระป๋อง ไม่รวมน้ำ,vegetable,44.82,3.93,7.28,0,3.94,ถ้วยตวง
ผักปวยเล้ง ดิบ,vegetable,8.1,0.85,0.71,0.21,0.86,ทัพพี
ผักปวยเล้ง แช่แข็ง,vegetable,16.18,1.28,2.46,0.14,1.09,ทัพพี
ผักหวานป่า ดิบ,vegetable,24.57,1.34,4.06,0.33,0,ถ้วยตวง
ผักผ่อง / ผักขี้หูด ดิบ,vegetable,7.72,1.79,0,0.06,0,ถ้วยตวง
ผักแพงพวย / แพงพวยน้ำ ดิบ,vegetable,28.7,2.57,3.9,0.31,0,ถ้วยตวง
ผักอีหล่ำ / มะกล่ำตาช้าง ดิบ,vegetable,32.33,2.45,4.97,0.29,2.75,ถ้วยตวง
มะระหวาน / ฟักแม้ว / มะเขือเครือ ผล ดิบ,vegetable,34.86,1.27,6.99,0.2,2.63,ถ้วยตวง
มะระหวาน / ฟักแม้ว / มะเขือเครือ ใบและยอด ดิบ,vegetable,33.03,4.04,3.54,0.3,0.81,ถ้วยตวง
เห็ดหูหนู แห้ง แช่น้ำ (จากแห้ง 14 กรัม),vegetable,56.76,1.18,12.74,0.12,8.02,ถ้วยตวง
เห็ดหอม แห้ง แช่น้ำ,vegetable,63.36,3.39,12.41,0.02,2.14,ทัพพี
ผักกาดหอมม่วง ดิบ,vegetable,5.23,0.43,0.72,0.07,0.29,ถ้วยตวง
กะหล่ำปลีม่วง ดิบ,vegetable,29.68,1.16,5.97,0.13,1.7,ถ้วยตวง
ฟักทอง ดอก ต้ม,vegetable,18.46,1.1,3.33,0.08,0.91,ถ้วยตวง
เห็ดหูหนูขาว แช่น้ำ ลวก,vegetable,7.64,0.2,1.66,0.02,1.57,ทัพพี
ผักเสี้ยน ดอง,vegetable,6.38,0.42,0.75,0.19,0.75,ทัพพี
ผักเชียงดา ดิบ,vegetable,15.22,1.24,2.3,0.12,0,ถ้วยตวง
ผักกูด ดิบ (กะเหรี่ยงเมืองกาญฯ),vegetable,37.2,2.66,5.2,0.64,4.9,100 กรัม
ผักกูด ต้ม (กะเหรี่ยงเมืองกาญฯ),vegetable,32.7,2.9,3.7,0.7,3.7,100 กรัม
ผักมันหมู / ผักเหลียง (เหล่คองดุ) ต้ม (กะเหรี่ยงเมืองกาญฯ),vegetable,48.83,0.12,10.4,0.75,8.9,100 กรัม
สะนี่วาดุ (คล้ายผักมันหมู) ต้ม (กะเหรี่ยงเมืองกาญฯ),vegetable,40.6,0.1,8.7,0.6,6.9,100 กรัม
พุเผดุ (หน่ออ่อนคล้าย หน่อของต้นข่า) ต้ม (กะเหรี่ยงเมืองกาญฯ),vegetable,25.7,2.3,2.1,0.9,2.1,100 กรัม
บวบป่า ใบและยอด (ตะกู่ไมดุ) ต้ม (กะเหรี่ยงเมืองกาญฯ),vegetable,35.1,2.9,5.2,0.3,3.6,100 กรัม
พูดุ (หน่อคล้ายใบข่า) ต้ม (กะเหรี่ยงเมืองกาญฯ),vegetable,39.5,3,5.3,0.7,5.3,100 กรัม
ผักฮาก / ผักรด (งองชูน่าดุ) ต้ม (กะเหรี่ยงเมืองกาญฯ),vegetable,51.3,3.7,8,0.5,7.5,100 กรัม
มะเขือเทศราชินี,vegetable,42.48,1.64,7.87,0.49,2.13,ถ้วยตวง
เห็ดหลินขาว ดิบ,vegetable,44.41,3.27,7.02,0.36,0,ถ้วยตวง
ลูกฟักทองอ่อน ดิบ,vegetable,36.9,0.9,7.92,0.18,2.7,ถ้วยตวง
ผักชีไร่ / หอมแย่ / ผักสะแงะ ดิบ,vegetable,6.38,0.46,1,0.06,0.6,ถ้วยตวง
เห็ดขอนขาว ดิบ,vegetable,44.41,3.27,7.02,0.36,0,ถ้วยตวง
เบญจรงค์ / อ่อมแซบ / ตำลึงหวาน ใบ ดิบ,vegetable,5.91,0.5,0.91,0.03,0.71,ถ้วยตวง
ผักกาดแก้วชนิดกรอบ ดิบ,vegetable,7.33,0.46,1.16,0.09,0.23,ถ้วยตวง
ผักกาดแก้วชนิดแข็ง ดิบ,vegetable,7.33,0.7,0.93,0.09,0.19,ถ้วยตวง
เห็ดเข็มทอง ดิบ,vegetable,74.84,4.99,11.64,0.92,1.66,ถ้วยตวง
เห็ดเข็มทอง ต้ม,vegetable,60.14,4.31,9.69,0.46,1.69,ถ้วยตวง
เห็ดนางรมหลวง / เห็ดออรินจิ ดิบ,vegetable,35.88,3.1,4.92,0.42,3.52,ถ้วยตวง
เห็ดโคนญี่ปุ่น ดิบ,vegetable,74.34,6.72,9.66,0.98,7.15,ถ้วยตวง
ผักเหลียง / ผักเหมียง ใบอ่อน ดิบ,vegetable,34.83,2.62,5.28,0.36,3.14,ถ้วยตวง
บวบงู ต้ม,vegetable,18.49,0.94,3.45,0.1,0,ถ้วยตวง
ฟักทอง เนื้อ ปอกเปลือก ต้ม,vegetable,73.25,1.13,16.34,0.37,2.02,ถ้วยตวง
ฟักทอง เนื้อ ไม่ปอกเปลือก ต้ม,vegetable,65.97,1.38,14.02,0.48,2.52,ถ้วยตวง
ฟักทอง เนื้อ ไม่ปอกเปลือก ดิบ,vegetable,34.22,0.96,6.8,0.35,1.46,ทัพพี
ฟักทอง พันธุ์ศรีเมือง ดิบ,vegetable,31.9,0.86,6.8,0.14,0.5,ทัพพี
ข่า ดอก ดิบ,vegetable,31.09,0.96,6.81,0,0,ถ้วยตวง
ผักกวางตุ้ง ต้ม,vegetable,15.55,1.41,2.01,0.21,1.83,ถ้วยตวง
ผักคะน้า ต้ม,vegetable,20.06,2.02,2.62,0.17,0,ถ้วยตวง
ผักโขมราชินี ดิบ,vegetable,9.14,1.58,0.22,0.22,1.87,ถ้วยตวง
ผักคราด ดิบ,vegetable,65.58,3.55,10.57,1.01,3.25,ถ้วยตวง
ผักคะน้า ยอดอ่อน ดิบ,vegetable,26.12,2.18,3.78,0.25,0,ถ้วยตวง
ผักคะน้าฮ่องกง ดิบ,vegetable,11.41,0.79,1.66,0.18,0.79,ทัพพี
ผักจวง ดิบ,vegetable,139.06,3.57,30.43,0.34,20.66,ถ้วยตวง
