name,category,calories,protein,carbs,fat,fiber,standardUnit
กระถิน ยอดอ่อน ดิบ,single_dish,21.68,2.45,2.77,0.09,1.65,ถ้วยตวง
กระถิน ฝักอ่อน ดิบ,single_dish,14.21,0.85,2.52,0.08,1.78,ทัพพี
กระถิน ฝักแก่ ดิบ,single_dish,119.79,8.71,18.53,1.2,13.44,100 กรัม
กระเจี๊ยบมอญ ฝักอ่อน ดิบ,single_dish,25.76,1.71,4.22,0.23,2.39,ถ้วยตวง
กระเทียม ดอก ดิบ,single_dish,56.7,1.76,11.84,0.25,0,ถ้วยตวง
กระเทียม ใบและต้น ดิบ,single_dish,58.19,2.86,10.45,0.55,0,ถ้วยตวง
กุยช่าย ใบ ขาว ดิบ,single_dish,19.47,2.53,2.09,0.11,0,ถ้วยตวง
กุยช่าย ดอก ดิบ,single_dish,49.6,3.03,8.77,0.27,3.6,ถ้วยตวง
กุยช่าย ใบ ดิบ,single_dish,36.11,2.49,5.93,0.27,3.51,ถ้วยตวง
ขนุน อ่อน ดิบ,single_dish,26.64,1.92,2.04,1.2,2.04,ถ้วยตวง
ขมิ้นขาว ดิบ,single_dish,30.6,0.47,6.48,0.32,0,ถ้วยตวง
ขี้เหล็ก ดอก ดิบ,single_dish,74.41,3.15,14.96,0.22,7.25,ถ้วยตวง
ขี้เหล็ก ใบ ดิบ,single_dish,59.78,4.53,9.37,0.47,3.59,ถ้วยตวง
แค ดอก ดิบ,single_dish,35.99,1.71,6.86,0.19,5.82,ถ้วยตวง
แค ยอดอ่อน ดิบ,single_dish,32.07,2.55,4.16,0.58,2.53,ถ้วยตวง
ชะอม ดิบ,single_dish,41.76,6.53,3.19,0.32,2.61,ถ้วยตวง
ดอกโสน ดิบ,single_dish,44.86,2.79,7.48,0.42,4.57,ถ้วยตวง
แตงร้าน ดิบ,single_dish,20.06,0.61,4.14,0.12,1.02,ถ้วยตวง
แตงไทย อ่อน ดิบ,single_dish,20.34,0.72,3.96,0.18,0,ถ้วยตวง
ถั่วพุ่ม ฝัก ดิบ,single_dish,16.57,1.07,2.94,0.06,2.23,ทัพพี
ถั่วพู ฝัก ดิบ,single_dish,12.6,0.94,2.15,0.03,1.91,ถ้วยตวง
ถั่วพู ฝัก ต้ม,single_dish,14.33,0.67,2.81,0.05,0,ถ้วยตวง
ถั่วลันเตา ฝักอ่อน ดิบ,single_dish,46.24,3.05,8.19,0.14,4.19,ถ้วยตวง
