name,category,calories,protein,carbs,fat,fiber,standardUnit
น้ำส้ม 100% ไม่ระบุยี่ห้อ,fruit,75.19,1.36,17.03,0.18,0.72,ถ้วยตวง
น้ำแตงโมปั่น พร้อมดื่ม,fruit,101.01,0.67,24.46,0.06,0.29,ถ้วยตวง
น้ำรสส้ม 15%,fruit,132.07,0,33.02,0,0,ถ้วยตวง
น้ำอัดลม กลิ่นสตรอเบอร์รี่ (ตรา แฟนต้า),fruit,123.95,0,30.99,0,0,ถ้วยตวง
น้ำอัดลม กลิ่นส้ม (ตรา มิรินด้า),fruit,104.06,0,26.02,0,0,ถ้วยตวง
น้ำอัดลม กลิ่นสตรอเบอร์รี่ (ตรา มิรินด้า),fruit,110.69,0,27.67,0,0,ถ้วยตวง
น้ำทับทิมผสมน้ำองุ่น 100% (ตรา ชบา),fruit,101.86,0,25.46,0,0,ถ้วยตวง
น้ำส้มเขียวหวานผสมเกล็ดส้ม 100% (ตรา ชบา),fruit,88.28,0,22.07,0,0,ถ้วยตวง
น้ำฝรั่ง 100% แคลเซียมสูง (ตรา ดอยคำ),fruit,140.45,0,35.11,0,5.32,ถ้วยตวง
น้ำลิ้นจี่ 100% (ตรา ดอยคำ),fruit,106,0,26.5,0,0,ถ้วยตวง
น้ำสตรอเบอร์รี่ 100% (ตรา ดอยคำ),fruit,113.08,1.05,27.22,0,0,ถ้วยตวง
น้ำองุ่นผสมน้ำแอปเปิ้ล 40% (ตรา มาลี จู๊ซมิกซ์),fruit,114.59,0,28.65,0,0,ถ้วยตวง
น้ำส้ม 100% (ตรา มาลี),fruit,117.71,0,29.43,0,0,ถ้วยตวง
น้ำสับปะรด 100% (ตรา มาลี),fruit,98.07,0,24.52,0,1.07,ถ้วยตวง
น้ำมะม่วง (ตรา สุวรรณี),fruit,95.92,2.07,20.74,0.52,0,ถ้วยตวง
น้ำแอปเปิ้ลแดง 100% (ตรา เทสโก้),fruit,114.59,0,28.65,0,0,ถ้วยตวง
น้ำองุ่นแดง 100% (ตรา เทสโก้),fruit,106.1,0,26.52,0,0,ถ้วยตวง
น้ำส้มเขียวหวานผสมเกล็ดส้ม 100% (ตรา เทสโก้),fruit,100.9,0,25.22,0,0,ถ้วยตวง
น้ำแอปเปิ้ล 100% (ตรา ทิปโก้),fruit,110.34,0,27.59,0,0,ถ้วยตวง
น้ำองุ่นแดง 100% (ตรา ทิปโก้),fruit,89.12,0,22.28,0,0,ถ้วยตวง
น้ำพรุนผสมน้ำองุ่น 100% (ตรา ทิปโก้),fruit,72.68,0,16.98,0.53,1.06,ถ้วยตวง
น้ำส้มผสมน้ำสับปะรด 40% (ตรา ทิปโก้คูล ฟิต),fruit,108.68,0,27.17,0,0,ถ้วยตวง
น้ำส้ม 100% (ตรา ยูเอฟซี),fruit,109.3,0,27.33,0,1.05,ถ้วยตวง
น้ำองุ่นแดง 100% (ตรา ยูนิฟ),fruit,123.08,0,30.77,0,0,ถ้วยตวง
น้ำฝรั่ง 100%,fruit,114.56,0.2,28.44,0,0,ถ้วยตวง
น้ำมังคุด,fruit,85.3,0.6,20.57,0.07,0.88,ถ้วยตวง
น้ำสตรอเบอร์รี่ 25%,fruit,33.2,0,8.3,0,0.4,ถ้วยตวง
น้ำส้ม 15%,fruit,90.8,0.3,22.4,0,0.3,ถ้วยตวง
น้ำส้ม 25%,fruit,42.8,0.2,10.5,0,0.8,ถ้วยตวง
น้ำองุ่น 25%,fruit,69.2,0,17.3,0,0.4,ถ้วยตวง
มะตะบะไส้กล้วย (ฮาลาล),fruit,90.57,2.01,11.5,4.06,0,ทัพพี
ส้มตำปูม้า,fruit,169.87,11.72,29.62,0.5,3.12,ถ้วยตวง
ส้มตำปูแสมดอง,fruit,114.38,4.04,23.34,0.54,3.82,ถ้วยตวง
ตำกล้วยตีบใหญ่,fruit,202.84,3.8,45.11,0.8,2.09,ถ้วยตวง
ตำมะม่วงดิบ,fruit,124.36,1,29.2,0.39,3.79,ถ้วยตวง
ตำมะละกอ,fruit,41.39,1.74,7.78,0.37,3.54,ถ้วยตวง
แกงกบใส่มะละกอ (ไม่ใส่กะทิ อาหารอีสาน),fruit,54.1,5.12,6.56,0.82,2.59,ถ้วยตวง
คั่วกบใส่มะละกอ,fruit,56.07,8.74,4.39,0.4,2.06,ถ้วยตวง
ก้อยจิ้งหรีดใส่มะม่วง,fruit,196.5,16.06,20.83,5.44,4.85,ถ้วยตวง
ตำฝรั่งใส่ปูนา,fruit,77.97,3.06,15.48,0.42,4.63,ถ้วยตวง
ตำแตงโมอ่อน,fruit,32.48,1.51,6,0.27,0.1,ถ้วยตวง
ตำฝรั่ง,fruit,93.91,2.26,19.93,0.57,6.72,ถ้วยตวง
ส้มตำไทยใส่ปู,fruit,118.35,5.55,16.95,3.15,0,ถ้วยตวง
แกงส้มป่อย (กะเหรี่ยงเมืองกาญฯ),fruit,15.57,1.73,1.51,0.29,0.1,100 กรัม
แกงหยวกกล้วย (กะเหรี่ยงเมืองกาญฯ),fruit,32.76,2.31,1.56,1.92,0.06,100 กรัม
ส้มตำลาว,fruit,68.58,1.89,14.39,0.39,3.45,ถ้วยตวง
แกงตูนใส่มะละกอ,fruit,57.26,6.39,5.25,1.19,1.28,ถ้วยตวง
น้ำพริกป่า ใส่มะม่วงดิบ,fruit,209.31,7.35,37.94,3.13,5.63,ถ้วยตวง
ยำกล้วยป่า,fruit,399.28,8.68,49.41,18.55,4.45,ถ้วยตวง
แกงเลียงใส่เม็ดมะม่วงหิมพานต์ (ภาคใต้),fruit,76.26,3.96,10.11,2.22,2.28,ถ้วยตวง
แกงเลียงใส่มะละกอดิบ (ภาคใต้),fruit,32.75,2.32,5.48,0.17,1.73,ถ้วยตวง
ยำมะม่วง / ยำมะมุด ใส่มะพร้าวคั่ว,fruit,252.35,2.7,35.77,10.94,5.72,ถ้วยตวง
ตำกล้วย,fruit,190.07,3.23,42.23,0.92,0.48,ถ้วยตวง
ตำกล้วยใส่มะเฟือง,fruit,147.03,2.54,31.96,1.01,1.08,ถ้วยตวง
กล้วยแขก / กล้วยทอด,fruit,461.9,2.48,102.67,4.59,0,ถ้วยตวง
กล้วยต้ม โรยหน้ามะพร้าว,fruit,335.89,1.76,78.99,1.43,5.2,ถ้วยตวง
กล้วยบวชชี หวาน มัน,fruit,235.48,1.48,47.26,4.5,5.06,ถ้วยตวง
สาลี่กรอบ,fruit,70.72,1.71,11.86,1.83,0.39,ชิ้น (กลาง)
กล้วยบวชชี หวาน ไขมันต่ำ,fruit,453.97,3.05,51.6,26.15,4.49,ถ้วยตวง
กล้วยบวชชี หวานน้อย ไขมันต่ำ,fruit,450.09,4.22,45.73,27.81,4.62,ถ้วยตวง
ซุปข้น หน่อไม้ฝรั่ง กระป๋อง สำหรับเติมนม 1 เท่าตัว,fruit,137.12,5.27,13.66,6.82,0.62,ถ้วยตวง
ซุปข้น หน่อไม้ฝรั่ง กระป๋อง สำหรับเติมน้ำ 1 เท่าตัว,fruit,74,1.91,8.9,3.42,0.41,ถ้วยตวง
อาหารเสริม แอปเปิ้ลซอส สูตร 2 พร้อมกิน ทารกและเด็ก 7 ด.-2 ปี (ตรา เกอร์เบอร์),fruit,122.78,0.93,29.56,0.09,0,ถ้วยตวง
อาหารเสริม น้ำแอปเปิ้ล พร้อมกิน ทารกและเด็ก 6 ด.-3 ปี ชนิดผลไม้ (ตรา เกอร์เบอร์),fruit,90.58,0.12,22.48,0.02,0,ถ้วยตวง
อาหารเสริม แอปเปิ้ลซอส จูเนียร์ พร้อมกิน ทารกและเด็ก 8 ด.-3 ปี ชนิดผลไม้ (ตรา ไฮนซ์),fruit,150.4,0.47,36.39,0.33,0,ถ้วยตวง
อาหารเสริม แอปเปิ้ลซอส พร้อมกิน ทารกและเด็ก 6 ด.-1 ปี ชนิดผลไม้ (ตรา ไฮนซ์),fruit,150.4,0.47,36.39,0.33,0,ถ้วยตวง
อาหารเสริม สตรอเบอร์รี่ ชนิดข้น จูเนียร์ พร้อมกิน ทารกและเด็ก 8 ด.-3 ปี ชนิดผลไม้ (ตรา ไฮนซ์),fruit,125.75,0.49,30.47,0.21,0,ถ้วยตวง
