name,category,calories,protein,carbs,fat,fiber,standardUnit
ซีอิ๊วขาว ไม่ระบุเกรด,single_dish,75.67,8.48,10.35,0.04,0,ถ้วยตวง
ซีอิ๊วขาว สูตร 1,single_dish,63.6,8.39,7.51,0,0,ถ้วยตวง
ซีอิ๊วขาว สูตร 2,single_dish,93.2,7.52,15.51,0.12,0,ถ้วยตวง
ซีอิ๊วขาว สูตร 3,single_dish,74.4,4.8,13.8,0,0,ถ้วยตวง
ซีอิ๊วดำ ข้น / ซีอิ๊วหวาน,single_dish,529.2,11.09,121.21,0,0,ถ้วยตวง
ซีอิ๊วดำ สูตร 1 (ซอสจากกากน้ำตาลและถั่วเหลือง),single_dish,559.24,1.95,137.87,0,0,ถ้วยตวง
ซีอิ๊วดำ สูตร 2 (ซอสจากกากน้ำตาลและถั่วเหลือง),single_dish,352.51,6.73,81.4,0,0,ถ้วยตวง
ซีอิ๊วดำ สูตร 3 (ซอสจากกากน้ำตาลและถั่วเหลือง),single_dish,490.36,4.69,117.9,0,0,ถ้วยตวง
ซีอิ๊วดำ สูตร 4 (ซอสจากกากน้ำตาลและถั่วเหลือง),single_dish,452.84,3.9,109.31,0,0,ถ้วยตวง
ซุปก้อน รสไก่,fruit,20.83,1.44,2.89,0.39,0,ชิ้น (กลาง)
ซุปก้อน รสหมู,fruit,17.73,1.32,2.28,0.37,0,ชิ้น (กลาง)
ซุปไก่สกัดสูตร 100% (ตรา สก็อตต์),fruit,51.6,12.9,0,0,0,ถ้วยตวง
ซุปผงปรุงรส รสไก่,fruit,390.13,24.66,26.65,20.54,0,ถ้วยตวง
ซุปผงปรุงรส รสเนื้อ,fruit,315.97,23.64,25.75,13.16,0,ถ้วยตวง
ไตปลาทู,fruit,84.77,4.15,0,7.58,0,ถ้วยตวง
น้ำจิ้มกุยช่าย นึ่ง / ทอด,single_dish,339.34,3.96,80.51,0.16,0.13,ถ้วยตวง
น้ำจิ้มไก่,fruit,503.18,1.66,122.03,0.94,3.27,ถ้วยตวง
น้ำจิ้มไก่ย่าง,single_dish,316.87,10.12,66.36,1.22,8.02,ถ้วยตวง
น้ำจิ้มไก่ย่าง ใส่น้ำกระเทียมดอง,single_dish,157.21,6.34,31.46,0.67,5.05,ถ้วยตวง
น้ำจิ้มไก่ย่าง ใส่น้ำมะขามเปียก น้ำตาลปึก,single_dish,729.19,1.94,178.29,0.92,3.03,ถ้วยตวง
น้ำจิ้มข้าวมันไก่,fruit,255.07,9.16,45.52,4.04,6.89,ถ้วยตวง
น้ำจิ้มข้าวมันไก่ ใส่ซีอิ๊วขาว,single_dish,303.37,10.82,57.22,3.47,4.75,ถ้วยตวง
น้ำจิ้มข้าวมันไก่ ใส่น้ำซุป,single_dish,277.79,8.08,51.71,4.29,5.44,ถ้วยตวง
น้ำจิ้มข้าวหมกไก่,fruit,384.04,3.54,90.63,0.82,6.22,ถ้วยตวง
น้ำจิ้มข้าวหมกไก่ เค็มน้อย,single_dish,457.71,0.73,113.27,0.19,1.25,ถ้วยตวง
น้ำจิ้มข้าวหมกไก่ เค็มมาก,single_dish,448.73,2.57,107.82,0.8,5.65,ถ้วยตวง
