name,category,calories,protein,carbs,fat,fiber,standardUnit
"นมถั่วเหลือง เจ น้ำตาลน้อย สูตรงาดำ 2 เท่า แคลเซียมสูง (ตรา ดีน่า, สีฟ้า)",milk,94.93,5.79,12.73,2.31,5.79,ถ้วยตวง
"นมถั่วเหลือง เจ ผสมน้ำผึ้ง (ตรา ดีน่า, สีเหลือง)",milk,130.04,6.67,18.34,3.33,0,ถ้วยตวง
"นมถั่วเหลือง เจ ไม่ใส่น้ำตาล แคลเซียมสูง (ตรา วีซอย, สีฟ้า)",milk,98.36,8.15,7.25,4.08,0.9,ถ้วยตวง
นมถั่วเหลือง เจ ไม่ใส่น้ำตาล / น้ำเต้าหู้,milk,133.38,5.84,12.5,6.67,0,ถ้วยตวง
"นมถั่วเหลือง เจ สูตรข้าว 3 ชนิด แคลเซียมสูง (ตรา วีซอย, สีน้ำตาล)",milk,119.58,4.52,17.21,3.63,4.52,ถ้วยตวง
"นมถั่วเหลือง เจ สูตรงาดำ 2 เท่า แคลเซียมสูง (ตรา ดีน่า, สีเทา)",milk,101.03,5.44,12.69,3.17,0.9,ถ้วยตวง
"นมถั่วเหลือง เจ สูตรเชคกี้ แคลเซียมสูง (ตรา ไวตามิ้ลค์แชมป์, สีชมพู)",milk,126.98,5.69,13.25,5.69,0,ถ้วยตวง
"นมถั่วเหลือง เจ สูตรทูโก ธัญพืชสีดำ (ตรา ไวตามิ้ลค์, สีดำ)",milk,142.07,5.04,17.67,5.69,0.63,ถ้วยตวง
"นมถั่วเหลือง ผสมนมผง แคลเซียมสูง (ตรา ไวตามิ้ลค์แชมป์, สีขาว)",milk,190.42,5.69,22.74,8.52,0,ถ้วยตวง
"นมถั่วเหลือง ผสมนมผง แคลเซียมสูง ผสมงาดำ (ตรา แลคตาซอย, สีเทา)",milk,150.05,5.84,16.67,6.67,0.83,ถ้วยตวง
"นมถั่วเหลือง ผสมนมผง (ตรา ไวตามิ้ลค์ ยูเอชที พลัส, สีแดง)",milk,169.85,5.21,20.84,7.29,0,ถ้วยตวง
"นมถั่วเหลือง ผสมนมผง น้ำตาลน้อย วิตามินอีสูง (ตรา แลคตาซอย, สีชมพู)",milk,115.04,5,12.5,5,0.83,ถ้วยตวง
นมถั่วเหลือง ผสมนมผง ยูเอชที,milk,132.01,6.04,11.3,6.96,1.35,ถ้วยตวง
"นมถั่วเหลือง ผสมนมผง รสช็อกโกแลต (ตรา แลคตาซอย, สีน้ำตาล)",milk,190.06,5.84,26.68,6.67,0,ถ้วยตวง
นมถั่วเหลือง ผสมนมผง รสธัญญาหาร 5 ชนิด (ตรา โฟร์โมสต์),milk,213.9,7.25,29.91,7.25,1.81,ถ้วยตวง
"นมถั่วเหลือง ผสมนมผง รสหวาน (ตรา แลคตาซอย, สีฟ้า)",milk,182.79,6.25,22.24,7.65,0.69,ถ้วยตวง
"นมถั่วเหลือง ผสมนมผง สูตรทูโก (ตรา ไวตามิ้ลค์, สีน้ำเงิน)",milk,174.39,5.69,20.84,7.59,1.27,ถ้วยตวง
นมปรุงแต่ง อัดเม็ด กลิ่นวานิลลา,milk,91.13,1.53,10,5,0,แพ็ค
นมปรุงแต่ง อัดเม็ด รสช็อกโกแลต,milk,6.15,0.21,0.62,0.31,0,ชิ้น (เล็ก)
นมปรุงแต่ง อัดเม็ด รสต่างๆ,milk,5.38,0.22,0.66,0.21,0.13,ชิ้น (เล็ก)
นมปรุงแต่ง อัดเม็ด รสหวาน,milk,5.77,0.19,0.77,0.22,0,ชิ้น
นมเปรี้ยว / โยเกิร์ตพร้อมดื่ม พาสเจอร์ไรส์ (ตรา ยาคูลท์),milk,47.69,1.28,10.48,0.07,0,ชิ้น
นมเปรี้ยว / โยเกิร์ตพร้อมดื่ม พาสเจอร์ไรส์ พร่องมันเนย รสต่างๆ,milk,115.1,3.35,24.07,0.6,0,ถ้วยตวง
นมเปรี้ยว / โยเกิร์ตพร้อมดื่ม พาสเจอร์ไรส์ ไม่มีไขมัน,milk,115.92,3.49,25.49,0,0.1,ถ้วยตวง
นมเปรี้ยว / โยเกิร์ตพร้อมดื่ม พาสเจอร์ไรส์ ไม่มีไขมัน น้ำตาลน้อย,milk,63.54,3.31,12.58,0,3.43,ถ้วยตวง
นมเปรี้ยว / โยเกิร์ตพร้อมดื่ม พาสเจอร์ไรส์ ไม่มีไขมัน รสต่างๆ,milk,108.64,3.22,23.57,0.17,0,ถ้วยตวง
นมเปรี้ยว / โยเกิร์ตพร้อมดื่ม พาสเจอร์ไรส์ รสต่างๆ,milk,137.31,3.27,23.64,3.3,0,ถ้วยตวง
นมเปรี้ยว / โยเกิร์ตพร้อมดื่ม พาสเจอร์ไรส์ รสธรรมชาติ,milk,167.69,3.19,31.07,3.4,0,ถ้วยตวง
นมเปรี้ยว / โยเกิร์ตพร้อมดื่ม ยูเอชที พร่องมันเนย รสต่างๆ,milk,135.17,2.35,29.33,0.94,0,ถ้วยตวง
นมเปรี้ยว / โยเกิร์ตพร้อมดื่ม ยูเอชที ไม่มีไขมัน รสต่างๆ,milk,103.97,4.24,21.5,0.11,0,ถ้วยตวง
นมเปรี้ยว / โยเกิร์ตพร้อมดื่ม ยูเอชที รสต่างๆ,milk,145.19,3.28,26.65,2.83,0,ถ้วยตวง
นมผง กลิ่นวานิลลา (ตรา อะแล็คต้า 100 3 พลัส),milk,554.17,20.74,71.12,20.74,2.96,ถ้วยตวง
นมผง กลิ่นวานิลลา สูตรผสมใยอาหาร และเบอร์รี่รวม 2.5% (ตรา คาร์เนชัน 3 พลัส),milk,549.89,19.76,65.86,23.05,1.51,ถ้วยตวง
นมผง ขาดมันเนย,milk,255.6,24.6,39.3,0,0,ถ้วยตวง
นมผง ขาดมันเนย แคลเซียมสูง (ตรา แอนลีน),milk,354.5,38.6,48,0.9,0,ถ้วยตวง
นมผง เด็ก 1-3 ปี เสริมธาตุเหล็ก (ตรา แนน โปร 3),milk,568.94,17.18,68.52,25.13,0,ถ้วยตวง
นมผง เด็ก 1 ปีขึ้นไป กลิ่นวานิลลา (ตรา ซิมิแลค เกน พลัส),milk,587,19.95,62.69,28.5,2.85,ถ้วยตวง
นมผง เด็ก 1 ปีขึ้นไป กลิ่นวานิลลา (ตรา อะแล็คต้า 100 1 พลัส),milk,554.17,20.74,71.12,20.74,2.96,ถ้วยตวง
นมผง เด็ก 1 ปีขึ้นไป กลิ่นวานิลลา (ตรา เอนฟา 3 สมาร์ทพลัส),milk,554.17,20.74,71.12,20.74,2.96,ถ้วยตวง
นมผง เด็ก 1 ปีขึ้นไป กลิ่นวานิลลา (ตรา เอส-26 พีอี โกลด์),milk,536.12,18.86,72.74,18.86,1.24,ถ้วยตวง
นมผง เด็ก 1 ปีขึ้นไป กลิ่นวานิลลา สูตรผสมใยอาหาร และผักโขมกับแอปเปิ้ล 2.5% (ตรา คาร์เนชัน 1 พลัส),milk,549.89,19.76,65.86,23.05,1.51,ถ้วยตวง
นมผง เด็ก 1 ปีขึ้นไป รสจืด กลิ่นวานิลลา (ตรา หมี 1 พลัส),milk,549.89,19.76,65.86,23.05,3.29,ถ้วยตวง
