name,category,calories,protein,carbs,fat,fiber,standardUnit
ผัดเผ็ดเครื่องในไก่ใส่มะเขือเปราะ (กะเหรี่ยงเมืองกาญฯ),single_dish,126.31,7.3,7.38,7.51,4.38,ถ้วยตวง
ผัดเผ็ดถั่วฝักยาว,single_dish,163.58,26.25,7.18,3.31,3.71,ถ้วยตวง
ผัดเผ็ดปลาดุกใบกะเพรา ไม่ใส่กะทิ,single_dish,264.4,15.38,11.44,17.46,2.39,ถ้วยตวง
ผัดเผ็ดปลาดุกมะเขือเปราะ ไม่ใส่กะทิ,single_dish,261.23,13.64,12.82,17.27,3.74,ถ้วยตวง
ผัดเผ็ดปลาดุก ไม่ใส่กะทิ,single_dish,334.45,15.44,11.91,25.01,2.44,ถ้วยตวง
ผัดเผ็ดปลาดุก ใส่กะทิ,single_dish,286.38,15.92,12.37,19.25,5.01,ถ้วยตวง
ผัดเผ็ดลูกชิ้นปลากรายมะเขือเปราะ ไม่ใส่กะทิ,single_dish,148.4,11.51,12.03,6.02,2.73,ถ้วยตวง
ผัดเผ็ดลูกชิ้นปลากราย ไม่ใส่กะทิ,single_dish,164.76,17.88,10.52,5.68,0.92,ถ้วยตวง
ผัดเผ็ดลูกชิ้นปลากรายยอดมะพร้าวอ่อน ไม่ใส่กะทิ,single_dish,175.18,15.38,12.52,7.07,1.84,ถ้วยตวง
ผัดเผ็ดสะตอกุ้ง,single_dish,408.92,26.04,27.29,21.73,2.64,ถ้วยตวง
ผัดเผ็ดสะตอไก่,single_dish,249.84,42.69,9.09,4.74,2.96,ถ้วยตวง
ผัดเผ็ดสะตอปลาหมึก,single_dish,369.36,17.54,20.99,23.92,3.22,ถ้วยตวง
ผัดเผ็ดสะตอหมู,single_dish,379.23,27.43,37.45,13.3,4.6,ถ้วยตวง
ผัดพริกแกงไก่,single_dish,455.97,22.92,19.68,31.73,3.47,ถ้วยตวง
ผัดพริกแกงปลาดุกทอดกรอบ,single_dish,352.6,30.25,19.98,16.85,1.8,ถ้วยตวง
ผัดพริกแกงปลาดุกทอดกรอบ ใส่มะเขือเปราะ,single_dish,144.51,17.37,12.78,2.66,2.77,ถ้วยตวง
ผัดพริกแกงปลาเนื้ออ่อน ใส่กะทิ,single_dish,330.54,24.39,30.53,12.32,3.1,ถ้วยตวง
ผัดพริกขิงไก่ใส่ถั่วฝักยาว,single_dish,250.12,18.31,16.49,12.32,11.8,ถ้วยตวง
ผัดพริกขิงหมูสับ,single_dish,452.42,19.25,16.64,34.32,3.35,ถ้วยตวง
ผัดพริกขิงหมูสามชั้น,single_dish,482.47,12.85,17.97,39.91,3.16,ถ้วยตวง
ผัดมักกะโรนีหมู,single_dish,201.75,7.07,23.84,8.68,0,ถ้วยตวง
ผัดมาม่าใส่ยอดฟักทองหมูบด (กะเหรี่ยงเมืองกาญฯ),single_dish,255.45,9.9,17.2,16.34,2.36,ถ้วยตวง
ผัดยอดกะทกรกใส่ปลาทูนึ่ง (กะเหรี่ยงเมืองกาญฯ),single_dish,142.83,6.47,7.32,9.74,1.34,ถ้วยตวง
ผัดวุ้นเส้นใส่ไข่,single_dish,251.71,6.45,29.55,11.97,1.73,ถ้วยตวง
ผัดสะตอใส่กะปิ,single_dish,345.7,18.54,27.48,17.96,1.06,ถ้วยตวง
ผัดสะตอใส่กะปิ เค็มน้อย,single_dish,267.64,14.06,20.26,14.48,1.51,ถ้วยตวง
ผัดสะตอใส่กะปิ เค็มมาก,single_dish,396.34,22.85,21.57,24.29,1.33,ถ้วยตวง
ผัดสะตอใส่กะปิ ใส่ปลาหมึก,single_dish,231.78,11.66,16.77,13.12,2.69,ถ้วยตวง
ผัดเส้นหมี่ใส่ไข่,single_dish,374.46,4.24,53.03,16.15,1.26,ถ้วยตวง
ผัดหมี่เครื่องแกงใส่ไข่,single_dish,242.79,10.28,31.11,8.58,1.2,ถ้วยตวง
ฝอยทอง,single_dish,554.24,17.28,46.98,33.02,2.43,ถ้วยตวง
พล่ากุ้ง,single_dish,142.19,18.55,12.72,1.9,4.47,ถ้วยตวง
พล่าปลากระบอก,single_dish,107.91,16.93,6.38,1.63,2.72,ถ้วยตวง
พล่าปลากะพง,single_dish,138.27,19.9,7.98,2.97,2.71,ถ้วยตวง
พลู ใบ ดิบ,single_dish,9.68,0.68,1.34,0.18,0,ถ้วยตวง
พายกรอบ,single_dish,239.29,3.8,21.67,15.27,1.26,ถ้วยตวง
พายไก่,single_dish,167.22,4.19,15.75,9.72,0.9,ชิ้น (กลาง)
พาย คัสตาร์ดไข่,single_dish,220.08,5.78,21.84,12.18,1.68,ชิ้น (กลาง)
