name,category,calories,protein,carbs,fat,fiber,standardUnit
วัว เนื้อ ไม่ติดมัน ต้ม,meat,247.56,44.06,0,7.92,0,ถ้วยตวง
วัว เนื้อ ไม่ติดมัน ทอด,meat,236.61,40,0,8.51,0,ถ้วยตวง
วัว เนื้อ ไม่ติดมัน ย่าง,meat,192.71,41.2,0,3.1,0,ถ้วยตวง
วัว เนื้อแห้ง อบ,meat,246.09,40.59,4.32,7.39,0,ถ้วยตวง
วัว เลือด ดิบ,meat,19.41,3.63,1.17,0.02,0,ทัพพี
วัว ไต ดิบ,meat,112.45,20.28,0.52,3.25,0,ถ้วยตวง
หมูป่า เนื้อ ดิบ,meat,187.31,22.18,0,10.96,0,ถ้วยตวง
หมู กระเพาะ ดิบ,meat,128.52,21.42,0,4.76,0,ถ้วยตวง
หมู กุนเชียง,meat,397.82,22.58,7,31.06,0,ถ้วยตวง
หมู เท้า / คากิ,meat,410.01,48.11,0,24.17,0,ถ้วยตวง
หมู ซี่โครง ดิบ,meat,230.77,20.98,0,16.32,0,ถ้วยตวง
หมู ตับ ดิบ,meat,190.73,31.15,3.22,5.92,0,ถ้วยตวง
หมู ตับอ่อน ดิบ,meat,171.02,29.6,2.86,4.58,0,ถ้วยตวง
หมู ปอด ดิบ,meat,139.52,21.1,0.62,5.85,0,ถ้วยตวง
หมู ม้าม ดิบ,meat,133.83,24.79,0,3.85,0,ถ้วยตวง
หมู ยอ,meat,386.62,19.66,3.77,32.55,0,ถ้วยตวง
หมู ย่าง,meat,259.15,28.03,1.6,15.62,0,ถ้วยตวง
หมู ลำไส้เล็ก ดิบ,meat,109.49,19.4,0,3.54,0,ถ้วยตวง
หมู ลิ้น ดิบ,meat,280.13,25.26,2.16,18.94,0,ถ้วยตวง
หมู ส้ม,meat,188.8,29.57,2.94,6.53,0,ถ้วยตวง
หมู หนัง ทอด / แคบหมู แบบมีมัน,meat,232.48,15.1,1.88,18.29,0,ถ้วยตวง
หมู หนัง ดิบ,meat,113.85,7.05,0.11,9.47,0,ทัพพี
หมูหย็อง,meat,126.59,12.82,14.86,1.77,0,ถ้วยตวง
หมู หัวใจ ดิบ,meat,186.96,26.18,0.46,8.93,0,ถ้วยตวง
หมู เนื้อสันนอก ดิบ,meat,196.86,30.01,0,8.54,0,ถ้วยตวง
หมู เนื้อสันใน / หมูเนื้อแดง ดิบ,meat,113.68,21.36,0,3.14,0,ถ้วยตวง
หมู เลือด ต้ม,meat,61.3,15.33,0,0,0,ถ้วยตวง
หมู แหนม,meat,285.86,18.98,13.15,17.48,0,ถ้วยตวง
หมู ไต / เซี้ยงจี้ ดิบ,meat,161.85,22.18,4.77,6.01,0,ถ้วยตวง
ไส้กรอก หมู ทอด,meat,356.8,16.76,10.96,27.32,1.32,ถ้วยตวง
หมู สามชั้น ดิบ,meat,453.54,17.51,1.6,41.9,0,ถ้วยตวง
ไส้กรอกอีสาน หมู ทอด,meat,563.87,25.54,22.44,41.33,1.6,ถ้วยตวง
กระต่าย เนื้อ ดิบ,meat,168.48,29.97,0,5.4,0,ถ้วยตวง
เป็ด ตีน ดิบ,meat,168.35,23.66,0,8.19,0,ถ้วยตวง
หมู แฮม,meat,191.98,31.77,0.15,7.14,0,ถ้วยตวง
หมู แฮม ต้ม,meat,255.36,48.94,2.58,5.47,0,ถ้วยตวง
หมู สันคอ ดิบ,meat,249.22,24.29,0,16.9,0,ถ้วยตวง
หมู สับ ดิบ,meat,379.48,30.21,1.16,28.22,0,ถ้วยตวง
หมู เนื้อสันนอก ทอด,meat,387.88,41.08,13.27,18.94,0,ถ้วยตวง
ไก่ กึ๋น ต้ม,meat,171.99,31.88,4.03,3.15,0,ถ้วยตวง
ไก่ กึ๋น ทอด,meat,206.64,36.72,3.6,5.04,0,ถ้วยตวง
ไก่ ปีก ทอด,meat,341.61,32.57,0,23.48,0,ถ้วยตวง
ไก่ ปีก ต้ม,meat,343.99,27.19,0,26.14,0,ถ้วยตวง
ไก่ น่อง ต้ม,meat,277.56,31.73,0,16.74,0,ถ้วยตวง
ไก่ สะโพก ทอด,meat,272.92,31.81,0,16.19,0,ถ้วยตวง
ไก่ น่อง ทอด,meat,231.19,29.07,0,12.77,0,ถ้วยตวง
ไก่ ทั้งตัว ต้ม,meat,325.35,30.91,0,22.41,0,ถ้วยตวง
ไก่ สะโพก ต้ม,meat,326.43,28.49,2.7,22.41,0,ถ้วยตวง
ไก่ ตับ ต้ม,meat,203.85,31.42,0,8.69,0,ถ้วยตวง
ไก่ ตับ ทอด,meat,286.32,33.96,3.6,15.12,0,ถ้วยตวง
ไก่ อก ต้ม,meat,260.14,38.61,0,11.74,0,ถ้วยตวง
ไก่ อก ทอด,meat,252.4,38.56,0,10.91,0,ถ้วยตวง
ไก่ เลือด ต้ม,meat,46.05,10.77,0,0.33,0,ถ้วยตวง
หมู สามชั้น ทอด,meat,553.96,29.38,7.68,45.08,0,ถ้วยตวง
หมู ไต / เซี้ยงจี้ ต้ม,meat,162.62,21.41,8.16,4.93,0,ถ้วยตวง
หมู สันคอ ทอด,meat,394.08,46.55,3.19,21.68,0,ถ้วยตวง
หมู สับ ต้ม,meat,383.13,40.5,0,24.57,0,ถ้วยตวง
หมู สับ ทอด,meat,442.76,40.57,0.4,30.99,0,ถ้วยตวง
หมู หัวใจ ต้ม,meat,290.6,43.27,2,12.17,0,ถ้วยตวง
หมู ซี่โครง ต้ม,meat,306.36,28.64,1,20.87,0,ถ้วยตวง
หมู ซี่โครง ทอด,meat,319.68,32.35,2.21,20.16,0,ถ้วยตวง
หมู แฮม ทอด,meat,398.24,54.42,0,20.06,0,ถ้วยตวง
หมู หัวใจ ทอด,meat,326.79,42.53,3.2,15.98,0,ถ้วยตวง
หมู เนื้อสันนอก ต้ม,meat,268.62,43.56,0.13,10.43,0,ถ้วยตวง
