name,category,calories,protein,carbs,fat,fiber,standardUnit
ถั่วงอกหัวโต (ถั่วเหลือง) สุก,vegetable,15.06,1.63,1.6,0.24,0.14,ทัพพี
ถั่วฝักยาว ดิบ,vegetable,13.93,0.94,2.31,0.1,1.39,ทัพพี
ถั่วฝักยาว ต้ม,vegetable,43.55,2.81,7.86,0.1,3.49,ถ้วยตวง
ถั่วฝักยาว เมล็ดแห้ง ดิบ,vegetable,171.95,13.64,27.45,0.84,0,ทัพพี
น้ำขิง,vegetable,43.84,0,10.96,0,0,ถ้วยตวง
น้ำแครอทผสมผลไม้รวม 100% (ตรา ยูนิฟ),vegetable,93.37,0,23.34,0,0,ถ้วยตวง
น้ำแครอทม่วงผสมผลไม้รวม 100% (ตรา ยูนิฟ),vegetable,106.1,0,26.52,0,0,ถ้วยตวง
น้ำผลไม้รวมผสมผักใบเขียว 100% (ตรา ยูนิฟ),vegetable,106.1,0,26.52,0,0,ถ้วยตวง
น้ำมะเขือเทศ,vegetable,71.99,1.32,15.63,0.46,1.37,ถ้วยตวง
น้ำมะเขือเทศผสมน้ำผลไม้รวม 60% (ตรา มาลี เซลฟ์พลัส),vegetable,114.59,0,28.65,0,0,ถ้วยตวง
บร็อคโคลี่ ดิบ,vegetable,30.95,2.41,5.13,0.09,2.09,ถ้วยตวง
บวบงู ดิบ,vegetable,16.53,1.03,2.85,0.11,0,ถ้วยตวง
บวบงู ต้ม,vegetable,18.49,0.94,3.45,0.1,0,ถ้วยตวง
บวบป่า ใบและยอด (ตะกู่ไมดุ) ต้ม (กะเหรี่ยงเมืองกาญฯ),vegetable,35.1,2.9,5.2,0.3,3.6,ถ้วยตวง
บวบหอม / บวบกลม ดิบ,vegetable,40.41,1.61,8.01,0.21,2.32,ถ้วยตวง
บวบหอม / บวบกลม ยอดอ่อน ดิบ,vegetable,24.3,2.58,2.93,0.25,0,ถ้วยตวง
บวบเหลี่ยม / บวบหวาน ดิบ,vegetable,36.7,1.28,7.64,0.11,1.86,ถ้วยตวง
เบญจรงค์ / อ่อมแซบ / ตำลึงหวาน ใบ ดิบ,vegetable,5.91,0.5,0.91,0.03,0.71,ถ้วยตวง
แบะแซ,vegetable,1062.2,0,265.55,0,0,ถ้วยตวง
ใบเตย,vegetable,31.71,1.28,5.03,0.72,0,ถ้วยตวง
ใบมะกรูด,vegetable,31.69,1.27,5.04,0.72,1.39,ถ้วยตวง
ใบมะกรูด ค่อนข้างแห้ง,vegetable,32.09,1.58,4.83,0.72,0,ถ้วยตวง
ใบมะงั่ว (สะซุ่ยลา) ต้ม (กะเหรี่ยงเมืองกาญฯ),vegetable,106.8,4.3,17,2.4,14.1,ถ้วยตวง
ป่นมะเขือยาว,vegetable,112.25,7.23,13.15,3.41,5.17,ถ้วยตวง
ป่นเห็ดโคน,vegetable,82.7,7.28,11.31,0.93,2.93,ถ้วยตวง
ป่นเห็ดเผาะ,vegetable,151.15,3.23,34.02,0.24,0.41,ถ้วยตวง
ผักกระเฉด ดิบ,vegetable,35.92,3.26,5.02,0.31,3.71,ถ้วยตวง
ผักกระโดน ดิบ,vegetable,15.32,0.65,3,0.08,1.67,ถ้วยตวง
ผักกระสัง ดิบ,vegetable,11.63,0.68,1.71,0.23,0,ถ้วยตวง
ผักกวางตุ้ง / กะจ้อน / กาดจอ ดิบ,vegetable,8.31,0.64,1.29,0.06,0.84,ทัพพี
ผักกวางตุ้ง ดอก ดิบ,vegetable,15.14,1.86,1.28,0.29,0,ถ้วยตวง
ผักกวางตุ้ง ต้ม,vegetable,15.55,1.41,2.01,0.21,1.83,ถ้วยตวง
ผักกวางตุ้ง ไต้หวัน ดิบ,vegetable,6.42,0.47,0.89,0.11,0.32,ทัพพี
ผักกาดแก้วชนิดกรอบ ดิบ,vegetable,7.33,0.46,1.16,0.09,0.23,ถ้วยตวง
ผักกาดแก้วชนิดแข็ง ดิบ,vegetable,7.33,0.7,0.93,0.09,0.19,ถ้วยตวง
ผักกาดขาว ดิบ,vegetable,16.88,2.11,1.83,0.13,2.6,ถ้วยตวง
ผักกาดขาวใบเขียว ดิบ,vegetable,16.64,1.6,2.01,0.25,1.97,ถ้วยตวง
ผักกาดขาวปลี ดิบ,vegetable,18.33,1.97,2.34,0.12,0,ถ้วยตวง
