name,category,calories,protein,carbs,fat,fiber,standardUnit
ไก่ทอด ไม่ใส่เครื่องปรุงรส,meat,346.81,44.35,1.46,18.17,0,ถ้วยตวง
ไก่ ทั้งตัว ต้ม,meat,325.35,30.91,0,22.41,0,ถ้วยตวง
ไก่ น่อง ดิบ,meat,181.79,25.04,0.19,8.99,0,ถ้วยตวง
ไก่ น่อง ต้ม,meat,277.56,31.73,0,16.74,0,ถ้วยตวง
ไก่ น่อง ทอด,meat,231.19,29.07,0,12.77,0,ถ้วยตวง
ไก่ น่อง (เนื้อ + หนัง) ชุบแป้งทอด,meat,271.14,30.73,1.86,15.64,0.11,ถ้วยตวง
ไก่ เนื้อ ดิบ,meat,251.64,23.36,1.89,16.74,0,ถ้วยตวง
ไก่ เนื้อ ย่าง,meat,211.75,33.8,1.31,7.92,0.8,ถ้วยตวง
ไก่ บด ย่าง,meat,276.11,28.73,0.8,17.56,0.8,ถ้วยตวง
ไก่บ้าน กึ๋น ดิบ,meat,137.15,25.58,0.12,3.81,0,ถ้วยตวง
ไก่บ้าน น่อง ดิบ,meat,156.6,28.21,0,4.86,0,ถ้วยตวง
ไก่บ้าน ปีก ดิบ,meat,168.56,26.4,0,7,0,ถ้วยตวง
ไก่บ้าน สะโพก ดิบ,meat,164.16,27.68,0,5.94,0,ถ้วยตวง
ไก่บ้าน อก ดิบ,meat,159.84,29.03,0,4.86,0,ถ้วยตวง
ไก่ ปลายปีก ต้ม,meat,183.4,13.34,0.45,14.25,0,ถ้วยตวง
ไก่ ปลายปีก ทอด,meat,299.62,20.66,8.82,20.19,0,ถ้วยตวง
ไก่ ปลายปีก ย่าง,meat,217.43,20.79,6.2,12.16,0,ถ้วยตวง
ไก่ป่า น่อง ดิบ,meat,179.82,29.16,0,7.02,0,ถ้วยตวง
ไก่ป่า ปีก ดิบ,meat,245.78,28.78,0,14.52,0,ถ้วยตวง
ไก่ป่า สะโพก ดิบ,meat,291.6,26.73,0,20.52,0,ถ้วยตวง
ไก่ป่า อก ดิบ,meat,227.07,29.43,0,12.15,0,ถ้วยตวง
ไก่ ปีกกลาง ต้ม,meat,320.41,27.92,0.11,23.15,0,ถ้วยตวง
ไก่ ปีกกลาง ทอด,meat,310.19,33.02,4.77,17.67,0,ถ้วยตวง
ไก่ ปีกกลาง ย่าง,meat,282.98,30.76,0.1,17.73,0,ถ้วยตวง
ไก่ ปีก ดิบ,meat,286.44,22.31,0,21.91,0,ถ้วยตวง
ไก่ ปีก ต้ม,meat,343.99,27.19,0,26.14,0,ถ้วยตวง
ไก่ ปีก ทอด,meat,341.61,32.57,0,23.48,0,ถ้วยตวง
ไก่ ปีกบน ต้ม,meat,318.63,30.23,0.28,21.84,0,ถ้วยตวง
ไก่ ปีกบน ทอด,meat,316.68,32.31,5.14,18.54,0,ถ้วยตวง
ไก่ ปีกบน ย่าง,meat,271.77,30.52,4.01,14.85,0,ถ้วยตวง
ไก่ยอ ทอด (ฮาลาล),meat,120.53,3.96,5.79,9.06,0,ทัพพี
ไก่ ลำไส้ ดิบ,meat,60.05,6.73,1.01,3.23,0,ถ้วยตวง
ไก่ ลูกชิ้น ทอด,meat,252.3,15.15,10.8,16.5,0,ถ้วยตวง
ไก่ ลูกชิ้น ลวก,meat,241.65,23.85,5.85,13.65,0,ถ้วยตวง
ไก่ เลือด ดิบ,meat,165,40,0.8,0.2,0,ถ้วยตวง
ไก่ เลือด ต้ม,meat,46.05,10.77,0,0.33,0,ถ้วยตวง
ไก่ สะโพก ดิบ,meat,285.66,21.06,2.97,21.06,0,ถ้วยตวง
ไก่ สะโพก ต้ม,meat,326.43,28.49,2.7,22.41,0,ถ้วยตวง
ไก่ สะโพก ทอด,meat,272.92,31.81,0,16.19,0,ถ้วยตวง
ไก่ สะโพก ย่าง,meat,378.25,27.94,4.2,27.75,0.01,ถ้วยตวง
ไก่ สันใน ดิบ,meat,151.47,33.62,0,1.89,0,ถ้วยตวง
ไก่ หนัง ดิบ,meat,454.28,63.75,0,22.14,0,ถ้วยตวง
ไก่ หนัง ทอด,meat,115.35,6.8,2.91,8.5,0,ทัพพี
ไก่หย็อง (ฮาลาล),meat,25.17,2.82,3.05,0.19,0,ทัพพี
ไก่ หัวใจ ดิบ,meat,149.44,19.68,2.46,6.76,0,ถ้วยตวง
ไก่ อก ดิบ,meat,206.55,26.73,0,11.07,0,ถ้วยตวง
ไก่ อก ต้ม,meat,260.14,38.61,0,11.74,0,ถ้วยตวง
ไก่ อก ทอด,meat,252.4,38.56,0,10.91,0,ถ้วยตวง
ไก่ อก ไม่รวมหนัง ดิบ,meat,151.47,33.62,0,1.89,0,ถ้วยตวง
ไก่ แฮม รมควัน,meat,291.67,42.52,0.95,13.09,0,ถ้วยตวง
ข้าวเกรียบกุ้ง ดิบ,meat,35.12,0.67,7.98,0.06,0,ถ้วยตวง
ข้าวเกรียบกุ้ง ทอด,meat,68.3,0.96,9.4,2.99,0.23,ถ้วยตวง
ข้าวเกรียบปลา,meat,71.5,1.44,8.26,3.63,0.29,ถ้วยตวง
ไข่ไก่ ไข่ขาว ดิบ,meat,14.51,2.93,0,0.31,0,ชิ้น (เล็ก)
ไข่ไก่ ไข่เจียว,meat,451.91,18.18,6.73,39.14,0,ถ้วยตวง
ไข่ไก่ ไข่ดาว,meat,315.19,17.96,3.1,25.66,0,ถ้วยตวง
ไข่ไก่ ไข่แดง ดิบ,meat,41.06,1.89,0.02,3.72,0,ชิ้น (เล็ก)
ไข่ไก่ ไข่แดง ต้ม (5 นาที),meat,43.83,2.18,0.28,3.78,0,ชิ้น (เล็ก)
ไข่ไก่ ไข่ตุ๋น (เติมน้ำ 15%),meat,37.22,3.47,0.6,2.33,0,ทัพพี
ไข่ไก่ ไข่เยี่ยวม้า,meat,64.25,5.37,0.82,4.39,0,ชิ้น (เล็ก)
ไข่ไก่ ทั้งฟอง ดิบ,meat,173.05,17.03,1.59,10.96,0,ถ้วยตวง
ไข่ไก่ ทั้งฟอง ต้ม,meat,53.19,5.19,0.38,3.43,0,ชิ้น (เล็ก)
ไข่ไก่อ่อน ต้ม,meat,195.43,10.37,0.26,16.99,0,ทัพพี
ไข่จระเข้ ไข่ขาว ดิบ,meat,19.5,3.25,1.04,0.26,0,ถ้วยตวง
ไข่จระเข้ ไข่แดง ดิบ,meat,39.71,3.01,0.26,2.96,0,ชิ้น (กลาง)
ไข่จระเข้ ทั้งฟอง ดิบ,meat,166.79,14.56,2.86,10.79,0,ถ้วยตวง
ไข่เจียวบางๆ หั่นฝอย,meat,167.39,7.27,1.62,14.64,0,ถ้วยตวง
ไข่เต่าตนุ ดิบ,meat,21.3,2.04,0.04,1.44,0,ชิ้น (กลาง)
ไข่นกกระทา ไข่ดาว,meat,334.12,20.79,2.12,26.94,0,ถ้วยตวง
ไข่นกกระทา ดิบ,meat,232.47,19.84,0.48,16.8,0,ถ้วยตวง
ไข่นกกระทา ต้ม,meat,14.94,1.32,0.06,1.05,0,ชิ้น (กลาง)
ไข่ปลากระบอก เค็ม,meat,600,52.12,0,43.5,0,ถ้วยตวง
ไข่ปลาจะละเม็ด ดิบ,meat,294.95,29.65,6.32,16.79,0,ถ้วยตวง
ไข่ปลา (เฉลี่ย) ดิบ,meat,333.67,48.66,3.27,14,0,ถ้วยตวง
ไข่ปลา (เฉลี่ย) ต้ม อบแห้ง,meat,245.29,35.77,2.4,10.29,0,ถ้วยตวง
ไข่ปลาสลิด แห้ง แดดเดียว ทอด,meat,175.67,7.33,0.85,15.88,0,ทัพพี
ไข่ปลาสีส้ม หน้าซูชิ,meat,119.04,13.42,6.18,4.51,0,ถ้วยตวง
ไข่ปลาหมึก ทอด,meat,369.47,21.74,11.06,26.47,0,ถ้วยตวง
ไข่เป็ด ไข่ขาว ดิบ,meat,15.01,3.42,0.26,0.03,0,ชิ้น (เล็ก)
ไข่เป็ด ไข่เค็ม,meat,114.49,8.35,1.22,8.47,0,แพ็ค
ไข่เป็ด ไข่เค็ม เสริมไอโอดีน,meat,106.89,7.66,0.93,8.06,0,แพ็ค
ไข่เป็ด ไข่เจียว,meat,451.32,18.17,4.07,40.26,0,ถ้วยตวง
ไข่เป็ด ไข่ดาว,meat,361.54,19.18,2.8,30.4,0,ถ้วยตวง
ไข่เป็ด ไข่แดง ดิบ,meat,66.31,2.34,0.14,6.26,0,ชิ้น (เล็ก)
ไข่เป็ด ไข่ตุ๋น (เติมน้ำ 15%),meat,40.65,3.49,0.24,2.86,0,ทัพพี
ไข่เป็ด ไข่เยี่ยวม้า,meat,88.6,7,2.1,5.8,0,ชิ้น (เล็ก)
ไข่เป็ด ทั้งฟอง ดิบ,meat,220.65,18.11,1.34,15.87,0,ถ้วยตวง
ไข่เป็ด ทั้งฟอง ต้ม,meat,81.23,6.82,0.48,5.78,0,ชิ้น (เล็ก)
ไข่มดแดง ดิบ,meat,108.36,8.82,9.2,4.03,0,ถ้วยตวง
ไข่มดแดงและตัวอ่อน,meat,93.49,10.33,5.67,3.28,0,ถ้วยตวง
ไข่แมงดาทะเล นึ่ง,meat,61.58,8.6,2.6,1.86,0,ทัพพี
ไข่แมงมัน (แมงมันจ่อม),meat,162.41,10.21,1.76,12.73,0,ถ้วยตวง
ควาย เนื้อ ดิบ,meat,159.71,24.6,0,6.81,0,ถ้วยตวง
จระเข้ เนื้อ ดิบ,meat,180.14,28.91,3.61,5.56,1.11,ถ้วยตวง
ดีวัว,meat,220.95,41.62,4.36,4.11,0,ถ้วยตวง
ตัวปลาร้า รวมกระดูก,meat,132.75,9.15,11.55,5.55,0,ถ้วยตวง
เต้าหู้ขาวแข็ง นึ่ง / ลวก,meat,154.45,16.24,4.98,7.73,2.33,ถ้วยตวง
เต้าหู้ไข่ไก่ หลอด,meat,91.15,7.42,4.39,4.88,1.4,ถ้วยตวง
เต้าหู้ปลา,meat,298.7,15.95,13.05,20.3,1.45,ถ้วยตวง
เต้าหู้เหลืองแข็ง นึ่ง / ลวก,meat,156.41,15.98,4.85,8.12,2.49,ถ้วยตวง
เต้าหู้ แห้ง,meat,179.29,18.85,2.11,10.61,0,ถ้วยตวง
ถั่วลันเตา เมล็ด บรรจุกระป๋อง เนื้อ น้ำ,meat,32.91,1.69,5.94,0.27,1.85,ทัพพี
นกกระจอก เนื้อและกระดูก ดิบ,meat,160.65,26.19,0,6.21,0,ถ้วยตวง
นก เนื้อ ดิบ,meat,147.15,34.97,0,0.81,0,ถ้วยตวง
น้ำปลาร้า,meat,34.65,2.83,0.82,2.23,0.82,ถ้วยตวง
น้ำปลาร้า ต้มสุก สำหรับส้มตำ,meat,75.32,8.4,6.82,1.6,0,ถ้วยตวง
น้ำปลาร้า สำหรับส้มตำ,meat,76.63,1.66,14.84,1.18,0,ถ้วยตวง
ปลากดขาว ดิบ,meat,143.36,29.17,0,2.96,0,ถ้วยตวง
ปลากดทะเล ดิบ,meat,101.72,22.77,0,1.18,0,ถ้วยตวง
ปลากดทะเล แห้ง,meat,157.54,34.56,0.29,2.02,0,ถ้วยตวง
ปลากรอบป่น,meat,175.34,21.16,0,10.08,0,ถ้วยตวง
ปลากระดี่หม้อ แห้ง,meat,425.85,54,0,23.32,0,ถ้วยตวง
ปลากระบอก แดดเดียว ทอด,meat,392.49,50.88,1.42,20.37,0,ถ้วยตวง
ปลากระบอก ต้ม,meat,155.7,32.65,0,2.79,0,ถ้วยตวง
ปลากระบอก ปีกเหลือง ดิบ,meat,120.49,25.04,0.11,2.21,0,ถ้วยตวง
ปลากระบอก ปีกเหลือง แห้ง,meat,142.85,29.09,0.79,2.59,0,ถ้วยตวง
ปลากระเบนทอง ดิบ,meat,115.6,28.55,0,0.16,0,ถ้วยตวง
ปลากราย ขูด ดิบ,meat,98.78,21.27,0.03,1.51,0,ถ้วยตวง
ปลากราย ขูด ต้ม,meat,106.6,21.12,3.19,1.04,0,ถ้วยตวง
ปลากราย หางแพน ดิบ,meat,106.34,22.05,0,2.02,0,ถ้วยตวง
ปลากราย แหนม,meat,162.58,21.6,6.86,5.41,3.65,ถ้วยตวง
ปลากะทิงดำ ดิบ,meat,134.76,23.84,0.83,4.01,0,ถ้วยตวง
ปลากะโทงแทง ดิบ,meat,198.29,37.91,0,5.18,0,ถ้วยตวง
ปลากะพงขาว ดิบ,meat,149.18,27.57,0.66,4.03,0,ถ้วยตวง
ปลากะพงขาว ต้ม,meat,177.32,30.88,0,5.98,0,ถ้วยตวง
ปลากะพงขาว นึ่ง,meat,158.95,28.88,1.8,4.02,0,ถ้วยตวง
ปลากะพงแดง ดิบ,meat,101.33,22.84,1.07,0.63,0,ถ้วยตวง
ปลากะพงแดงสั้นหางปาน ต้ม,meat,134.81,30.88,0.2,1.17,0,ถ้วยตวง
ปลากะพงแดงสั้นหางปาน ทอด,meat,273.84,37.31,0,13.84,0,ถ้วยตวง
ปลากะพงแดงสั้นหางปาน นึ่ง,meat,124.51,29.14,0,0.88,0,ถ้วยตวง
